rowid,hometeam,homescore,awayteam,awayscore,winnerteam,winnerhomeoraway,margin,total
1,Jets,9,Broncos,14,Broncos,away,-5,23
2,Jets,16,Broncos,10,Jets,home,6,26
3,Jets,7,Broncos,27,Broncos,away,-20,34
4,Jets,27,Broncos,14,Jets,home,13,41
5,Jets,7,Broncos,45,Broncos,away,-38,52
6,Jets,13,Broncos,41,Broncos,away,-28,54
7,Jets,10,Broncos,20,Broncos,away,-10,30
8,Jets,0,Broncos,27,Broncos,away,-27,27
9,Jets,7,Broncos,27,Broncos,away,-20,34
10,Jets,6,Broncos,22,Broncos,away,-16,28
11,Jets,3,Broncos,38,Broncos,away,-35,41
12,Jets,16,Broncos,17,Broncos,away,-1,33
13,Jets,16,Broncos,13,Jets,home,3,29
14,Jets,37,Broncos,13,Jets,home,24,50
15,Jets,27,Broncos,21,Jets,home,6,48
16,Jets,31,Broncos,13,Jets,home,18,44
17,Jets,16,Broncos,20,Broncos,away,-4,36
18,Jets,17,Broncos,26,Broncos,away,-9,43
19,Jets,20,Broncos,24,Broncos,away,-4,44
20,Jets,14,Broncos,24,Broncos,away,-10,38
21,Jets,27,Broncos,23,Jets,home,4,50
22,Jets,22,Broncos,17,Jets,home,5,39
23,Jets,13,Broncos,17,Broncos,away,-4,30
24,Jets,20,Broncos,14,Jets,home,6,34
25,Jets,3,Broncos,30,Broncos,away,-27,33
26,Jets,20,Broncos,24,Broncos,away,-4,44
27,Jets,20,Broncos,3,Jets,home,17,23
28,Jets,10,Broncos,24,Broncos,away,-14,34
29,Jets,9,Broncos,20,Broncos,away,-11,29
30,Jets,7,Broncos,27,Broncos,away,-20,34
31,Jets,27,Broncos,17,Jets,home,10,44
32,Jets,10,Broncos,16,Broncos,away,-6,26
33,Jets,3,Broncos,27,Broncos,away,-24,30
34,Jets,7,Broncos,48,Broncos,away,-41,55
35,Jets,16,Broncos,35,Broncos,away,-19,51
36,Jets,10,Broncos,31,Broncos,away,-21,41
37,Jets,9,Broncos,3,Jets,home,6,12
38,Jets,20,Broncos,24,Broncos,away,-4,44
39,Jets,16,Broncos,17,Broncos,away,-1,33
40,Jets,3,Broncos,21,Broncos,away,-18,24
41,Jets,10,Broncos,14,Broncos,away,-4,24
42,Jets,20,Broncos,28,Broncos,away,-8,48
43,Jets,10,Broncos,27,Broncos,away,-17,37
44,Jets,13,Broncos,17,Broncos,away,-4,30
45,Jets,3,Broncos,16,Broncos,away,-13,19
46,Jets,7,Broncos,26,Broncos,away,-19,33
47,Jets,3,Broncos,9,Broncos,away,-6,12
48,Jets,3,Broncos,17,Broncos,away,-14,20
49,Jets,6,Broncos,20,Broncos,away,-14,26
50,Jets,16,Broncos,24,Broncos,away,-8,40
51,Jets,10,Broncos,48,Broncos,away,-38,58
52,Jets,27,Broncos,7,Jets,home,20,34
53,Jets,10,Broncos,13,Broncos,away,-3,23
54,Jets,16,Broncos,2,Jets,home,14,18
55,Jets,17,Broncos,13,Jets,home,4,30
56,Jets,20,Broncos,14,Jets,home,6,34
57,Jets,7,Broncos,6,Jets,home,1,13
58,Jets,20,Broncos,10,Jets,home,10,30
59,Jets,16,Broncos,10,Jets,home,6,26
60,Jets,10,Broncos,34,Broncos,away,-24,44
61,Jets,17,Broncos,24,Broncos,away,-7,41
62,Jets,14,Broncos,23,Broncos,away,-9,37
63,Jets,14,Broncos,23,Broncos,away,-9,37
64,Jets,24,Broncos,28,Broncos,away,-4,52
65,Jets,36,Broncos,27,Jets,home,9,63
66,Jets,16,Broncos,20,Broncos,away,-4,36
67,Jets,23,Broncos,0,Jets,home,23,23
68,Jets,9,Broncos,10,Broncos,away,-1,19
69,Jets,6,Broncos,17,Broncos,away,-11,23
70,Jets,6,Broncos,24,Broncos,away,-18,30
71,Jets,14,Broncos,24,Broncos,away,-10,38
72,Jets,3,Broncos,13,Broncos,away,-10,16
73,Jets,30,Broncos,7,Jets,home,23,37
74,Jets,21,Broncos,13,Jets,home,8,34
75,Jets,19,Broncos,14,Jets,home,5,33
76,Jets,9,Broncos,3,Jets,home,6,12
77,Jets,19,Broncos,12,Jets,home,7,31
78,Jets,29,Broncos,24,Jets,home,5,53
79,Jets,0,Broncos,34,Broncos,away,-34,34
80,Jets,26,Broncos,17,Jets,home,9,43
81,Jets,20,Broncos,24,Broncos,away,-4,44
82,Jets,6,Broncos,7,Broncos,away,-1,13
83,Jets,26,Broncos,13,Jets,home,13,39
84,Jets,3,Broncos,20,Broncos,away,-17,23
85,Jets,20,Broncos,14,Jets,home,6,34
86,Jets,27,Broncos,17,Jets,home,10,44
87,Jets,21,Broncos,31,Broncos,away,-10,52
88,Jets,13,Broncos,20,Broncos,away,-7,33
89,Jets,10,Broncos,24,Broncos,away,-14,34
90,Jets,24,Broncos,14,Jets,home,10,38
91,Jets,17,Broncos,24,Broncos,away,-7,41
92,Jets,17,Broncos,16,Jets,home,1,33
93,Jets,10,Broncos,30,Broncos,away,-20,40
94,Jets,14,Broncos,16,Broncos,away,-2,30
95,Jets,9,Broncos,10,Broncos,away,-1,19
96,Jets,3,Broncos,10,Broncos,away,-7,13
97,Jets,23,Broncos,6,Jets,home,17,29
98,Jets,3,Broncos,28,Broncos,away,-25,31
99,Jets,17,Broncos,20,Broncos,away,-3,37
100,Jets,30,Broncos,10,Jets,home,20,40
101,Panthers,16,Cardinals,27,Cardinals,away,-11,43
102,Panthers,29,Cardinals,10,Panthers,home,19,39
103,Panthers,20,Cardinals,21,Cardinals,away,-1,41
104,Panthers,24,Cardinals,44,Cardinals,away,-20,68
105,Panthers,38,Cardinals,13,Panthers,home,25,51
106,Panthers,17,Cardinals,38,Cardinals,away,-21,55
107,Panthers,23,Cardinals,35,Cardinals,away,-12,58
108,Panthers,27,Cardinals,30,Cardinals,away,-3,57
109,Panthers,24,Cardinals,27,Cardinals,away,-3,51
110,Panthers,16,Cardinals,24,Cardinals,away,-8,40
111,Panthers,21,Cardinals,20,Panthers,home,1,41
112,Panthers,10,Cardinals,17,Cardinals,away,-7,27
113,Panthers,10,Cardinals,40,Cardinals,away,-30,50
114,Panthers,33,Cardinals,28,Panthers,home,5,61
115,Panthers,14,Cardinals,27,Cardinals,away,-13,41
116,Panthers,26,Cardinals,21,Panthers,home,5,47
117,Panthers,10,Cardinals,37,Cardinals,away,-27,47
118,Panthers,17,Cardinals,19,Cardinals,away,-2,36
119,Panthers,21,Cardinals,31,Cardinals,away,-10,52
120,Panthers,35,Cardinals,31,Panthers,home,4,66
121,Panthers,31,Cardinals,10,Panthers,home,21,41
122,Panthers,24,Cardinals,20,Panthers,home,4,44
123,Panthers,41,Cardinals,34,Panthers,home,7,75
124,Panthers,24,Cardinals,20,Panthers,home,4,44
125,Panthers,41,Cardinals,31,Panthers,home,10,72
126,Panthers,34,Cardinals,3,Panthers,home,31,37
127,Panthers,26,Cardinals,24,Panthers,home,2,50
128,Panthers,30,Cardinals,10,Panthers,home,20,40
129,Panthers,31,Cardinals,10,Panthers,home,21,41
130,Panthers,6,Cardinals,23,Cardinals,away,-17,29
131,Panthers,24,Cardinals,17,Panthers,home,7,41
132,Panthers,26,Cardinals,19,Panthers,home,7,45
133,Panthers,26,Cardinals,13,Panthers,home,13,39
134,Panthers,20,Cardinals,34,Cardinals,away,-14,54
135,Panthers,21,Cardinals,10,Panthers,home,11,31
136,Panthers,23,Cardinals,12,Panthers,home,11,35
137,Panthers,23,Cardinals,28,Cardinals,away,-5,51
138,Panthers,10,Cardinals,3,Panthers,home,7,13
139,Panthers,23,Cardinals,14,Panthers,home,9,37
140,Panthers,44,Cardinals,27,Panthers,home,17,71
141,Panthers,14,Cardinals,30,Cardinals,away,-16,44
142,Panthers,19,Cardinals,30,Cardinals,away,-11,49
143,Panthers,27,Cardinals,31,Cardinals,away,-4,58
144,Panthers,17,Cardinals,16,Panthers,home,1,33
145,Panthers,37,Cardinals,21,Panthers,home,16,58
146,Panthers,13,Cardinals,21,Cardinals,away,-8,34
147,Panthers,16,Cardinals,27,Cardinals,away,-11,43
148,Panthers,13,Cardinals,28,Cardinals,away,-15,41
149,Panthers,20,Cardinals,31,Cardinals,away,-11,51
150,Panthers,31,Cardinals,28,Panthers,home,3,59
151,Panthers,27,Cardinals,14,Panthers,home,13,41
152,Panthers,13,Cardinals,27,Cardinals,away,-14,40
153,Panthers,13,Cardinals,27,Cardinals,away,-14,40
154,Panthers,24,Cardinals,17,Panthers,home,7,41
155,Panthers,31,Cardinals,37,Cardinals,away,-6,68
156,Panthers,28,Cardinals,34,Cardinals,away,-6,62
157,Panthers,37,Cardinals,14,Panthers,home,23,51
158,Panthers,20,Cardinals,24,Cardinals,away,-4,44
159,Panthers,26,Cardinals,21,Panthers,home,5,47
160,Panthers,33,Cardinals,21,Panthers,home,12,54
161,Panthers,10,Cardinals,28,Cardinals,away,-18,38
162,Panthers,47,Cardinals,31,Panthers,home,16,78
163,Panthers,3,Cardinals,33,Cardinals,away,-30,36
164,Panthers,17,Cardinals,28,Cardinals,away,-11,45
165,Panthers,20,Cardinals,42,Cardinals,away,-22,62
166,Panthers,21,Cardinals,30,Cardinals,away,-9,51
167,Panthers,20,Cardinals,28,Cardinals,away,-8,48
168,Panthers,6,Cardinals,28,Cardinals,away,-22,34
169,Panthers,34,Cardinals,27,Panthers,home,7,61
170,Panthers,41,Cardinals,23,Panthers,home,18,64
171,Panthers,36,Cardinals,40,Cardinals,away,-4,76
172,Panthers,20,Cardinals,31,Cardinals,away,-11,51
173,Panthers,41,Cardinals,38,Panthers,home,3,79
174,Panthers,34,Cardinals,21,Panthers,home,13,55
175,Panthers,30,Cardinals,14,Panthers,home,16,44
176,Panthers,24,Cardinals,13,Panthers,home,11,37
177,Panthers,3,Cardinals,9,Cardinals,away,-6,12
178,Panthers,10,Cardinals,44,Cardinals,away,-34,54
179,Panthers,28,Cardinals,16,Panthers,home,12,44
180,Panthers,3,Cardinals,26,Cardinals,away,-23,29
181,Panthers,13,Cardinals,24,Cardinals,away,-11,37
182,Panthers,20,Cardinals,44,Cardinals,away,-24,64
183,Panthers,17,Cardinals,24,Cardinals,away,-7,41
