rowid,hometeam,homescore,awayteam,awayscore,winnerteam,winnerhomeoraway,margin,total,matchupid
1,Bears,27,Buccaneers,13,Bears,home,14,40,49
2,Bears,6,Buccaneers,27,Buccaneers,away,-21,33,49
3,Bears,17,Buccaneers,13,Bears,home,4,30,49
4,Bears,14,Buccaneers,24,Buccaneers,away,-10,38,49
5,Bears,22,Buccaneers,34,Buccaneers,away,-12,56,49
6,Bears,12,Buccaneers,14,Buccaneers,away,-2,26,49
7,Bears,17,Buccaneers,3,Bears,home,14,20,49
8,Bears,6,Buccaneers,35,Buccaneers,away,-29,41,49
9,Bears,10,Buccaneers,14,Buccaneers,away,-4,24,49
10,Bears,13,Buccaneers,24,Buccaneers,away,-11,37,49
11,Bears,10,Buccaneers,27,Buccaneers,away,-17,37,49
12,Bears,21,Buccaneers,24,Buccaneers,away,-3,45,49
13,Bears,27,Buccaneers,24,Bears,home,3,51,49
14,Bears,17,Buccaneers,31,Buccaneers,away,-14,48,49
15,Bears,17,Buccaneers,28,Buccaneers,away,-11,45,49
16,Bears,12,Buccaneers,7,Bears,home,5,19,49
17,Bears,20,Buccaneers,10,Bears,home,10,30,49
18,Bears,17,Buccaneers,20,Buccaneers,away,-3,37,49
19,Bears,15,Buccaneers,20,Buccaneers,away,-5,35,49
20,Bears,13,Buccaneers,20,Buccaneers,away,-7,33,49
21,Bears,17,Buccaneers,27,Buccaneers,away,-10,44,49
22,Bears,10,Buccaneers,16,Buccaneers,away,-6,26,49
23,Bears,6,Buccaneers,27,Buccaneers,away,-21,33,49
24,Bears,16,Buccaneers,28,Buccaneers,away,-12,44,49
25,Bears,20,Buccaneers,0,Bears,home,20,20,49
26,Bears,6,Buccaneers,34,Buccaneers,away,-28,40,49
27,Bears,24,Buccaneers,31,Buccaneers,away,-7,55,49
28,Bears,26,Buccaneers,17,Bears,home,9,43,49
29,Bears,10,Buccaneers,6,Bears,home,4,16,49
30,Bears,21,Buccaneers,16,Bears,home,5,37,49
31,Bears,20,Buccaneers,34,Buccaneers,away,-14,54,49
32,Bears,27,Buccaneers,0,Bears,home,27,27,49
33,Bears,20,Buccaneers,17,Bears,home,3,37,49
34,Bears,13,Buccaneers,20,Buccaneers,away,-7,33,49
35,Bears,16,Buccaneers,24,Buccaneers,away,-8,40,49
36,Bears,14,Buccaneers,9,Bears,home,5,23,49
37,Bears,17,Buccaneers,33,Buccaneers,away,-16,50,49
38,Bears,17,Buccaneers,10,Bears,home,7,27,49
39,Bears,23,Buccaneers,14,Bears,home,9,37,49
40,Bears,30,Buccaneers,12,Bears,home,18,42,49
41,Bears,21,Buccaneers,48,Buccaneers,away,-27,69,49
42,Bears,10,Buccaneers,42,Buccaneers,away,-32,52,49
43,Bears,23,Buccaneers,0,Bears,home,23,23,49
44,Bears,10,Buccaneers,30,Buccaneers,away,-20,40,49
45,Bears,20,Buccaneers,6,Bears,home,14,26,49
46,Bears,12,Buccaneers,10,Bears,home,2,22,49
47,Bears,44,Buccaneers,24,Bears,home,20,68,49
48,Bears,0,Buccaneers,20,Buccaneers,away,-20,20,49
49,Bears,16,Buccaneers,13,Bears,home,3,29,49
50,Bears,10,Buccaneers,17,Buccaneers,away,-7,27,49
51,Bears,21,Buccaneers,20,Bears,home,1,41,49
52,Bears,0,Buccaneers,13,Buccaneers,away,-13,13,49
53,Bears,41,Buccaneers,14,Bears,home,27,55,49
54,Bears,29,Buccaneers,0,Bears,home,29,29,49
55,Bears,14,Buccaneers,10,Bears,home,4,24,49
56,Bears,24,Buccaneers,31,Buccaneers,away,-7,55,49
57,Bears,10,Buccaneers,17,Buccaneers,away,-7,27,49
58,Bears,22,Buccaneers,14,Bears,home,8,36,49
59,Bears,0,Buccaneers,23,Buccaneers,away,-23,23,49
60,Bears,17,Buccaneers,23,Buccaneers,away,-6,40,49
61,Bears,15,Buccaneers,10,Bears,home,5,25,49
62,Bears,13,Buccaneers,17,Buccaneers,away,-4,30,49
63,Bears,6,Buccaneers,24,Buccaneers,away,-18,30,49
64,Bears,35,Buccaneers,21,Bears,home,14,56,49
65,Bears,31,Buccaneers,38,Buccaneers,away,-7,69,49
66,Bears,27,Buccaneers,20,Bears,home,7,47,49
67,Bears,35,Buccaneers,24,Bears,home,11,59,49
68,Bears,34,Buccaneers,24,Bears,home,10,58,49
69,Bears,9,Buccaneers,30,Buccaneers,away,-21,39,49
70,Bears,17,Buccaneers,20,Buccaneers,away,-3,37,49
71,Bears,27,Buccaneers,7,Bears,home,20,34,49
72,Bears,31,Buccaneers,13,Bears,home,18,44,49
73,Bears,17,Buccaneers,20,Buccaneers,away,-3,37,49
74,Bears,10,Buccaneers,19,Buccaneers,away,-9,29,49
75,Bears,28,Buccaneers,16,Bears,home,12,44,49
